molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
224_01_Native_1.0,0.454705,0.682618,95,535,01_Native,1.0,low-high,high-low,False,95,19.0,$T_{low-high}$
224_01_Native_1.0,0.682618,0.454705,167,535,01_Native,1.0,high-low,low-high,False,167,33.4,$T_{high-low}$
224_01_Native_1.0,0.454705,0.682618,62,535,01_Native,1.0,low-high,high-low,False,62,12.4,$T_{low-high}$
224_01_Native_1.0,0.682618,0.454705,6,535,01_Native,1.0,high-low,low-high,False,6,1.2000000000000002,$T_{high-low}$
226_01_Native_1.0,0.738255,0.420118,27,707,01_Native,1.0,high-low,high-high,False,148,29.6,$T_{high-low}$
226_01_Native_1.0,0.420118,0.572362,12,707,01_Native,1.0,low-high,high-low,False,12,2.4000000000000004,$T_{low-high}$
226_01_Native_1.0,0.572362,0.420118,92,707,01_Native,1.0,high-low,high-high,False,18,3.6,$T_{high-low}$
226_01_Native_1.0,0.420118,0.572362,54,707,01_Native,1.0,low-high,high-low,False,54,10.8,$T_{low-high}$
229_01_Native_1.0,0.57664,0.465866,88,1528,01_Native,1.0,high-low,high-high,False,771,154.20000000000002,$T_{high-low}$
229_01_Native_1.0,0.465866,0.57664,31,1528,01_Native,1.0,low-high,high-low,False,31,6.2,$T_{low-high}$
229_01_Native_1.0,0.884093,0.465866,51,1528,01_Native,1.0,high-low,high-high,False,51,10.2,$T_{high-low}$
229_01_Native_1.0,0.465866,0.57664,48,1528,01_Native,1.0,low-high,high-low,False,48,9.6,$T_{low-high}$
229_01_Native_1.0,0.57664,0.465866,37,1528,01_Native,1.0,high-low,low-high,False,37,7.4,$T_{high-low}$
229_01_Native_1.0,0.465866,0.57664,266,1528,01_Native,1.0,low-high,high-low,False,266,53.2,$T_{low-high}$
229_01_Native_1.0,0.57664,0.465866,36,1528,01_Native,1.0,high-low,low-high,False,36,7.2,$T_{high-low}$
229_01_Native_1.0,0.465866,0.57664,116,1528,01_Native,1.0,low-high,high-low,False,116,23.200000000000003,$T_{low-high}$
243_01_Native_1.0,0.622164,0.485481,120,507,01_Native,1.0,high-low,,False,120,24.0,$T_{high-low}$
243_01_Native_1.0,0.485481,0.622164,70,507,01_Native,1.0,low-high,high-low,False,70,14.0,$T_{low-high}$
243_01_Native_1.0,0.622164,0.485481,24,507,01_Native,1.0,high-low,low-high,False,24,4.800000000000001,$T_{high-low}$
243_01_Native_1.0,0.485481,0.622164,66,507,01_Native,1.0,low-high,high-low,False,66,13.2,$T_{low-high}$
243_01_Native_1.0,0.622164,0.485481,35,507,01_Native,1.0,high-low,low-high,False,35,7.0,$T_{high-low}$
243_01_Native_1.0,0.485481,0.622164,67,507,01_Native,1.0,low-high,high-low,False,67,13.4,$T_{low-high}$
