Molecule,FRET_before,FRET_after,Time,number_of_frames,treatment_name,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s)
133_03_A8A2_2.0,0.162786,0.05292,42,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,11,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,1,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,19,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,3,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,33,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,5,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,8,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.162786,5,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.162786,-0.096448,9,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,1,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,35,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,3,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,78,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.92758,1,1734,03_A8A2,2.0,low-high,low-low,False,306,61.2
133_03_A8A2_2.0,0.92758,0.05292,5,1734,03_A8A2,2.0,high-low,low-high,False,5,1.0
133_03_A8A2_2.0,0.05292,0.162786,67,1734,03_A8A2,2.0,low-low,high-low,True,0,0.0
133_03_A8A2_2.0,0.162786,0.05292,7,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,0.162786,57,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.162786,0.05292,25,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,0.162786,15,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.162786,0.05292,12,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,21,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,1,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,25,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,7,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,0.05292,-0.096448,14,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
133_03_A8A2_2.0,-0.096448,0.05292,1,1734,03_A8A2,2.0,low-low,low-low,True,0,0.0
