Molecule,FRET_after,FRET_before,Total Molecule Lifetime (min),treatment,FRET_after_normalised,FRET_before_normalised,bind_and_release,bind_and_release_overtime
187_04_A8B1_1.0,4.0,3.0,2.6066666666666665,04_A8B1,1.534526854219949,1.1508951406649617,3.0,1.1508951406649617
189_04_A8B1_1.0,1.0,0.0,0.6933333333333334,04_A8B1,1.4423076923076923,0.0,0.0,
191_04_A8B1_1.0,1.0,1.0,0.85,04_A8B1,1.1764705882352942,1.1764705882352942,1.0,1.1764705882352942
208_04_A8B1_1.0,1.0,0.0,0.6933333333333334,04_A8B1,1.4423076923076923,0.0,0.0,
210_04_A8B1_1.0,2.0,1.0,3.353333333333332,04_A8B1,0.5964214711729624,0.2982107355864812,1.0,0.2982107355864812
211_04_A8B1_1.0,1.0,1.0,0.8933333333333333,04_A8B1,1.119402985074627,1.119402985074627,1.0,1.119402985074627
216_04_A8B1_1.0,2.0,1.0,1.2766666666666666,04_A8B1,1.566579634464752,0.783289817232376,1.0,0.783289817232376
219_04_A8B1_1.0,1.0,0.0,2.7466666666666675,04_A8B1,0.3640776699029125,0.0,0.0,
224_04_A8B1_1.0,1.0,1.0,0.7533333333333334,04_A8B1,1.327433628318584,1.327433628318584,1.0,1.327433628318584
227_04_A8B1_1.0,2.0,1.0,0.6,04_A8B1,3.3333333333333335,1.6666666666666667,1.0,1.6666666666666667
241_04_A8B1_1.0,2.0,1.0,1.2266666666666666,04_A8B1,1.6304347826086958,0.8152173913043479,1.0,0.8152173913043479
242_04_A8B1_1.0,4.0,3.0,1.3033333333333332,04_A8B1,3.069053708439898,2.3017902813299234,3.0,2.3017902813299234
243_04_A8B1_1.0,2.0,1.0,0.7866666666666667,04_A8B1,2.542372881355932,1.271186440677966,1.0,1.271186440677966
250_04_A8B1_1.0,2.0,3.0,1.2533333333333334,04_A8B1,1.5957446808510638,2.3936170212765955,2.0,1.5957446808510638
263_04_A8B1_1.0,3.0,2.0,2.373333333333334,04_A8B1,1.2640449438202244,0.8426966292134829,2.0,0.8426966292134829
266_04_A8B1_1.0,4.0,5.0,2.0300000000000002,04_A8B1,1.9704433497536944,2.463054187192118,4.0,1.9704433497536944
276_04_A8B1_1.0,4.0,5.0,2.813333333333333,04_A8B1,1.4218009478672988,1.7772511848341235,4.0,1.4218009478672988
277_04_A8B1_1.0,5.0,6.0,3.950000000000002,04_A8B1,1.265822784810126,1.5189873417721511,5.0,1.265822784810126
281_04_A8B1_1.0,1.0,2.0,4.103333333333333,04_A8B1,0.24370430544272953,0.48740861088545906,1.0,0.24370430544272953
283_04_A8B1_1.0,3.0,3.0,2.8566666666666674,04_A8B1,1.0501750291715284,1.0501750291715284,3.0,1.0501750291715284
294_04_A8B1_1.0,2.0,1.0,0.7466666666666666,04_A8B1,2.678571428571429,1.3392857142857144,1.0,1.3392857142857144
296_04_A8B1_1.0,4.0,5.0,1.5866666666666662,04_A8B1,2.5210084033613454,3.1512605042016815,4.0,2.5210084033613454
