frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
1180,3948.385,8351.014,0.678977,0.611677,5,03_A8A2,2.0,005_03_A8A2_2.0,31,6,1360,True,238.0,0.06338,0.611677,False
1241,4675.597,7643.919,0.620472,0.611677,5,03_A8A2,2.0,005_03_A8A2_2.0,33,36,1360,True,55.0,0.49778,0.611677,False
82,3688.626,9881.153,0.728173,0.847251,7,03_A8A2,2.0,007_03_A8A2_2.0,2,1,465,True,81.0,0.090407,0.847251,False
200,2609.568,11623.094,0.816649,0.847251,7,03_A8A2,2.0,007_03_A8A2_2.0,4,6,465,True,117.0,0.090407,0.847251,False
408,1435.384,12124.471,0.894145,0.847251,7,03_A8A2,2.0,007_03_A8A2_2.0,6,58,465,True,202.0,0.090407,0.847251,False
1005,6193.401,10278.283,0.623997,0.91592,8,03_A8A2,1.0,008_03_A8A2_1.0,2,1,1005,True,1004.0,0.032284,0.91592,False
448,4947.841,10213.623,0.673657,0.90008,9,03_A8A2,1.0,009_03_A8A2_1.0,2,13,460,True,447.0,0.064032,0.90008,False
102,2221.58,10543.824,0.825969,0.907282,10,03_A8A2,1.0,010_03_A8A2_1.0,2,39,140,True,101.0,0.078018,0.907282,False
178,2153.391,11452.164,0.841727,0.692983,10,03_A8A2,2.0,010_03_A8A2_2.0,6,29,1455,True,104.0,0.072464,0.692983,False
306,13119.179,18901.657,0.590292,0.686648,12,03_A8A2,2.0,012_03_A8A2_2.0,2,5,310,True,305.0,0.131309,0.686648,False
159,1127.699,14645.847,0.928507,0.934017,13,03_A8A2,1.0,013_03_A8A2_1.0,2,27,185,True,158.0,0.086093,0.934017,False
958,5806.514,12889.083,0.689418,0.755481,13,03_A8A2,2.0,013_03_A8A2_2.0,13,5,975,True,51.0,0.277296,0.755481,False
275,4911.217,3781.067,0.434991,0.733156,14,03_A8A2,2.0,014_03_A8A2_2.0,2,6,280,True,274.0,0.073713,0.733156,False
500,2597.223,14973.589,0.852185,0.889428,17,03_A8A2,1.0,017_03_A8A2_1.0,2,36,535,True,499.0,0.056897,0.889428,False
